"Package","Field"
"iNETgrate","Microarray"
"infercnv","Single-cell"
"infinityFlow","Single-cell"
"Informeasure","Genomics"
"InPAS","Transcriptomics"
"INPower","Other"
"INSPEcT","Transcriptomics"
"INTACT","Genomics"
"InTAD","Microarray"
"intansv","Genomics"
"interacCircos","Other"
"InteractionSet","Other"
"InteractiveComplexHeatmap","Other"
"interactiveDisplay","Microarray"
"interactiveDisplayBase","Microarray"
"InterCellar","Single-cell"
"IntEREst","Immunology"
"IntramiRExploreR","Microarray"
"IONiseR","Other"
"iPath","Genomics"
"ipdDb","Genomics"
"IPO","Immunology"
"IRanges","Other"
"ISAnalytics","Single-cell"
